fish.Id,day,parasite.count,standard.length
C15,1,4,20.9
C15,3,7,20.9
C15,5,19,20.9
C15,7,50,20.9
C15,9,81,20.9
C15,11,185,20.9
C15,13,330,20.9
C15,15,675,20.9
C15,17,NA,20.9
C16,0,3,17.4
C16,1,5,17.4
C16,3,9,17.4
C16,5,24,17.4
C16,7,53,17.4
C16,9,135,17.4
C16,11,230,17.4
C16,13,360,17.4
C16,15,NA,17.4
C16,17,NA,17.4
C17,0,3,19.3
C17,1,7,19.3
C17,3,11,19.3
C17,5,21,19.3
C17,7,19,19.3
C17,9,21,19.3
C17,11,16,19.3
C17,13,14,19.3
C17,15,13,19.3
C17,17,3,19.3
C18,0,3,21.3
C18,1,7,21.3
C18,3,22,21.3
C18,5,63,21.3
C18,7,75,21.3
C18,9,106,21.3
C18,11,213,21.3
C18,13,304,21.3
C18,15,395,21.3
C18,17,589,21.3
C19,0,3,20.7
C19,1,5,20.7
C19,3,14,20.7
C19,5,20,20.7
C19,7,34,20.7
C19,9,59,20.7
C19,11,76,20.7
C19,13,75,20.7
C19,15,79,20.7
C19,17,29,20.7
C20,0,3,18.6
C20,1,7,18.6
C20,3,31,18.6
C20,5,91,18.6
C20,7,195,18.6
C20,9,297,18.6
C20,11,NA,18.6
C20,13,NA,18.6
C20,15,NA,18.6
C20,17,NA,18.6
C21,0,3,19.2
C21,1,5,19.2
C21,3,9,19.2
C21,5,21,19.2
C21,7,43,19.2
C21,9,86,19.2
C21,11,163,19.2
C21,13,146,19.2
C21,15,154,19.2
C21,17,174,19.2
C22,0,3,23.4
C22,1,7,23.4
C22,3,8,23.4
C22,5,19,23.4
C22,7,14,23.4
C22,9,13,23.4
C22,11,37,23.4
C22,13,17,23.4
C22,15,10,23.4
C22,17,5,23.4
C23,0,3,17.9
C23,1,5,17.9
C23,3,7,17.9
C23,5,15,17.9
C23,7,8,17.9
C23,9,10,17.9
C23,11,5,17.9
C23,13,4,17.9
C23,15,3,17.9
C23,17,1,17.9
C24,0,2,18.6
C24,1,2,18.6
C24,3,2,18.6
C24,5,10,18.6
C24,7,17,18.6
C24,9,44,18.6
C24,11,72,18.6
C24,13,275,18.6
C24,15,430,18.6
C24,17,NA,18.6
C25,0,2,19.3
C25,1,3,19.3
C25,3,1,19.3
C25,5,2,19.3
C25,7,2,19.3
C25,9,NA,19.3
C25,11,NA,19.3
C25,13,NA,19.3
C25,15,NA,19.3
C25,17,NA,19.3
C26,0,2,20.9
C26,1,1,20.9
C26,3,2,20.9
C26,5,2,20.9
C26,7,2,20.9
C26,9,0,20.9
C26,11,0,20.9
C26,13,0,20.9
C26,15,0,20.9
C26,17,0,20.9
C27,0,2,20.5
C27,1,1,20.5
C27,3,5,20.5
C27,5,10,20.5
C27,7,20,20.5
C27,9,37,20.5
C27,11,82,20.5
C27,13,0,20.5
C27,15,0,20.5
C27,17,0,20.5
C28,0,2,19.4
C28,1,2,19.4
C28,3,2,19.4
C28,5,9,19.4
C28,7,11,19.4
C28,9,30,19.4
C28,11,137,19.4
C28,13,148,19.4
C28,15,96,19.4
C28,17,296,19.4
C29,0,2,19.1
C29,1,3,19.1
C29,3,3,19.1
C29,5,8,19.1
C29,7,25,19.1
C29,9,58,19.1
C29,11,182,19.1
C29,13,247,19.1
C29,15,320,19.1
C29,17,347,19.1
C30,0,2,20.4
C30,1,1,20.4
C30,3,1,20.4
C30,5,3,20.4
C30,7,0,20.4
C30,9,0,20.4
C30,11,0,20.4
C30,13,0,20.4
C30,15,0,20.4
C30,17,0,20.4
C31,0,2,27.2
C31,1,3,27.2
C31,3,8,27.2
C31,5,9,27.2
C31,7,11,27.2
C31,9,26,27.2
C31,11,53,27.2
C31,13,151,27.2
C31,15,220,27.2
C31,17,510,27.2
C32,0,NA,NA
C32,1,NA,NA
C32,3,NA,NA
C32,5,NA,NA
C32,7,NA,NA
C32,9,NA,NA
C32,11,NA,NA
C32,13,NA,NA
C32,15,NA,NA
C32,17,NA,NA
C33,0,2,25.4
C33,1,3,25.4
C33,3,6,25.4
C33,5,10,25.4
C33,7,15,25.4
C33,9,40,25.4
C33,11,54,25.4
C33,13,71,25.4
C33,15,63,25.4
C33,17,NA,25.4
C34,0,2,19.1
C34,1,4,19.1
C34,3,10,19.1
C34,5,18,19.1
C34,7,32,19.1
C34,9,94,19.1
C34,11,NA,19.1
C34,13,NA,19.1
C34,15,NA,19.1
C34,17,NA,19.1
C35,0,2,22.7
C35,1,2,22.7
C35,3,5,22.7
C35,5,9,22.7
C35,7,16,22.7
C35,9,18,22.7
C35,11,0,22.7
C35,13,0,22.7
C35,15,0,22.7
C35,17,NA,22.7
C36,0,2,21.5
C36,1,5,21.5
C36,3,11,21.5
C36,5,18,21.5
C36,7,29,21.5
C36,9,108,21.5
C36,11,NA,21.5
C36,13,NA,21.5
C36,15,NA,21.5
C36,17,NA,21.5
C37,0,2,20.4
C37,1,3,20.4
C37,3,6,20.4
C37,5,11,20.4
C37,7,18,20.4
C37,9,68,20.4
C37,11,124,20.4
C37,13,290,20.4
C37,15,432,20.4
C37,17,501,20.4
C38,0,2,20.5
C38,1,4,20.5
C38,3,9,20.5
C38,5,13,20.5
C38,7,20,20.5
C38,9,45,20.5
C38,11,76,20.5
C38,13,113,20.5
C38,15,158,20.5
C38,17,311,20.5
C39,0,2,20.4
C39,1,4,20.4
C39,3,8,20.4
C39,5,14,20.4
C39,7,29,20.4
C39,9,73,20.4
C39,11,89,20.4
C39,13,131,20.4
C39,15,231,20.4
C39,17,410,20.4
C40,0,2,17.6
C40,1,4,17.6
C40,3,9,17.6
C40,5,14,17.6
C40,7,20,17.6
C40,9,62,17.6
C40,11,84,17.6
C40,13,161,17.6
C40,15,123,17.6
C40,17,104,17.6
C41,0,2,19.4
C41,1,4,19.4
C41,3,9,19.4
C41,5,17,19.4
C41,7,31,19.4
C41,9,109,19.4
C41,11,321,19.4
C41,13,NA,19.4
C41,15,NA,19.4
C41,17,NA,19.4
C42,0,2,17.8
C42,1,3,17.8
C42,3,10,17.8
C42,5,19,17.8
C42,7,35,17.8
C42,9,99,17.8
C42,11,115,17.8
C42,13,280,17.8
C42,15,276,17.8
C42,17,261,17.8
C43,0,3,18.6
C43,1,2,18.6
C43,3,5,18.6
C43,5,7,18.6
C43,7,5,18.6
C43,9,4,18.6
C43,11,3,18.6
C43,13,1,18.6
C43,15,0,18.6
C43,17,0,18.6
C44,0,3,19.2
C44,1,4,19.2
C44,3,9,19.2
C44,5,28,19.2
C44,7,49,19.2
C44,9,91,19.2
C44,11,160,19.2
C44,13,301,19.2
C44,15,NA,19.2
C44,17,NA,19.2
C45,0,2,23.6
C45,1,3,23.6
C45,3,8,23.6
C45,5,16,23.6
C45,7,34,23.6
C45,9,51,23.6
C45,11,79,23.6
C45,13,191,23.6
C45,15,411,23.6
C45,17,540,23.6
C46,0,2,21.5
C46,1,3,21.5
C46,3,4,21.5
C46,5,6,21.5
C46,7,14,21.5
C46,9,23,21.5
C46,11,41,21.5
C46,13,92,21.5
C46,15,209,21.5
C46,17,241,21.5
C47,0,2,17.8
C47,1,4,17.8
C47,3,12,17.8
C47,5,23,17.8
C47,7,28,17.8
C47,9,32,17.8
C47,11,49,17.8
C47,13,116,17.8
C47,15,183,17.8
C47,17,NA,17.8
C48,0,2,18.3
C48,1,4,18.3
C48,3,7,18.3
C48,5,8,18.3
C48,7,7,18.3
C48,9,4,18.3
C48,11,7,18.3
C48,13,11,18.3
C48,15,6,18.3
C48,17,3,18.3
C49,0,3,19.7
C49,1,6,19.7
C49,3,9,19.7
C49,5,28,19.7
C49,7,54,19.7
C49,9,124,19.7
C49,11,245,19.7
C49,13,521,19.7
C49,15,NA,19.7
C49,17,NA,19.7
C50,0,3,20.9
C50,1,4,20.9
C50,3,7,20.9
C50,5,19,20.9
C50,7,50,20.9
C50,9,81,20.9
C50,11,185,20.9
C50,13,330,20.9
C50,15,675,20.9
C50,17,NA,20.9
C51,0,3,17.4
C51,1,5,17.4
C51,3,9,17.4
C51,5,24,17.4
C51,7,53,17.4
C51,9,135,17.4
C51,11,230,17.4
C51,13,360,17.4
C51,15,NA,17.4
C51,17,NA,17.4
C52,0,3,19.3
C52,1,7,19.3
C52,3,11,19.3
C52,5,21,19.3
C52,7,19,19.3
C52,9,21,19.3
C52,11,16,19.3
C52,13,14,19.3
C52,15,13,19.3
C52,17,3,19.3
C53,0,3,21.3
C53,1,7,21.3
C53,3,22,21.3
C53,5,63,21.3
C53,7,75,21.3
C53,9,106,21.3
C53,11,213,21.3
C53,13,304,21.3
C53,15,395,21.3
C53,17,589,21.3
C54,0,3,20.7
C54,1,5,20.7
C54,3,14,20.7
C54,5,20,20.7
C54,7,34,20.7
C54,9,59,20.7
C54,11,76,20.7
C54,13,75,20.7
C54,15,79,20.7
C54,17,29,20.7
